content_id,content_name,link,team,brand,editor,media_post,design_post,production_team,content_producer,media_producer,production_date,sample_code,page,cgsđ_name,rejuvenation_group,format,region,age_range,model
250605,250605-CGSĐ Thông chị thu oanh ltm 250225,https://trello.com/c/C40NcsJH/1138-250605-cgs%C4%91-th%C3%B4ng-ch%E1%BB%8B-thu-oanh-ltm-250225-ngnqnhu-3dnsh-2d-tml-mt-lt-mass-adstoannv,Team sản xuất SG,G,ngnqnhu,3DNSH,2D-TML,Team sản xuất SG,ngnqnhu,3DHSD,2585-02-01,N_252125,CGSĐ,Thông,Xoá nhăn,Live trung,,,
251010,251010-CGSĐ Xuân chị Tayler liệu trình 57t 250905 lt v1,https://trello.com/c/LfQkhR7E/1542-251010-cgs%C4%91-xu%C3%A2n-ch%E1%BB%8B-tayler-li%E1%BB%87u-tr%C3%ACnh-57t-250905-lt-v1-tthphuc-3dhsd-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,tthphuc,3DHSD,2D-TML,Team sản xuất SG,tthphuc,3DNQT,2586-12-13,N_25952,CGSĐ,Xuân,Xoá nhăn,Live trung,,,
251105,251105-CGSĐ Hiếu MC 7in1 251013 tvc,https://trello.com/c/wHM7uTZn/1617-251105-cgs%C4%91-hi%E1%BA%BFu-mc-7in1-251021-tvc-v1-%C4%91ph%C6%B0%C6%A1ng-3dnqt-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,đphương,3DNQT,2D-TML,Team sản xuất SG,đphương,3DNSH,2587-03-31,N_23068,CGSĐ,Hiếu,,TVC,,,
251110,251110-CGSĐ Hiếu hành trình Mỹ Tưởng 45t 251002 tvc,https://trello.com/c/8mVBAxN4/1613-251110-cgs%C4%91-hi%E1%BA%BFu-h%C3%A0nh-tr%C3%ACnh-m%E1%BB%B9-t%C6%B0%E1%BB%9Fng-45t-251002-tvc-tbhan-3dttt-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tbhan,3DTTT,2D-NDT,Team sản xuất HN,tbhan,3DOS,2587-03-20,B_251002,CGSĐ,Hiếu,Xoá nhăn,TVC,Nam,45-54,1 nữ
250910,250910-ME chị Trang không cần xin phép 52t 250410 tvc,https://trello.com/c/LE4gSjsU/1467-250910-me-ch%E1%BB%8B-trang-kh%C3%B4ng-c%E1%BA%A7n-xin-ph%C3%A9p-52t-250410-tvc-tbhan-3dndt-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,tbhan,3DNDT,2D-NPL,Team sản xuất HN,tbhan,3DOS,2585-08-05,B_250410,Thường,Mẫu,Xoá nhăn,TVC,Bắc,,1 nữ
250620,250620-CGSĐ Hiếu giảm giá sập sàn 250310 tvc v1,https://trello.com/c/ZmJufG7z/1210-250620-cgs%C4%91-hi%E1%BA%BFu-gi%E1%BA%A3m-gi%C3%A1-s%E1%BA%ADp-s%C3%A0n-250310-tvc-v1-tthphuc-3dos-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DOS,2D-TML,Team sản xuất SG,tthphuc,3DNQT,2585-04-27,N_23068,CGSĐ,Hiếu,,,,,
240501,240501 - ME chị bích rửa mặt 46t 240410 tvc v1,https://trello.com/c/yumzhbGJ/625-240501-me-ch%E1%BB%8B-b%C3%ADch-r%E1%BB%ADa-m%E1%BA%B7t-46t-240410-tvc-v1-%C4%91ph%C6%B0%C6%A1ng-3dnttt-2d-tml-mt-tvc-mass-adstoannv,Team sản xuất SG,G,đphương,3DNTTT,2D-TML,Team sản xuất SG,đphương,3DNSH,2558-03-20,N_24436,Thường,Mẫu,,,,,
251020,251020-ME+ làm đẹp theo đôi 45 47 49 53 55 60 tvc v1 221128 221220 221230 221223,https://trello.com/c/TSETeRCF/1590-251020-me-l%C3%A0m-%C4%91%E1%BA%B9p-theo-%C4%91%C3%B4i-45-47-49-53-55-60-tvc-v1-221128-221220-221230-221223-tbhan-3dntc-2d-tml-mt-tvc-mass-ads,Team sản xuất HN,G,tbhan,3DNTC,2D-TML,Team sản xuất HN,tbhan,,,,Thường,Mẫu,,,,,
250820,250820-chị Diễm Kiều 45t 250412 asa v1,https://trello.com/c/fop48xAF/1416-250820-ch%E1%BB%8B-di%E1%BB%85m-ki%E1%BB%81u-45t-250412-asa-v1-nvhoan-2d-npl-mt-asa-ads,Team sản xuất HN,G,nvhoan,,2D-NPL,Team sản xuất HN,nvhoan + tthuyen,3DOS,2585-08-07,N_23068,Thường,Mẫu,,,,,
250527,250527-CGSĐ Hiếu đem bao nhiêu tiền để gặp em 240614 tvc v1,https://trello.com/c/9lMvZ9Il/1095-250527-cgs%C4%91-hi%E1%BA%BFu-%C4%91em-bao-nhi%C3%AAu-ti%E1%BB%81n-%C4%91%E1%BB%83-g%E1%BA%B7p-em-240614-tvc-v1-tthphuc-3dthd-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DTHD,2D-TML,Team sản xuất SG,tthphuc,3DNSH,2558-10-10,N_23068,CGSĐ,Hiếu,,,,,
