content_id,content_name,channel,classification,period,geography,spend,data_count,data_price,roas_month,roas_3months
,,Facebook,Tổng kênh Facebook,full-2026,total,16064267225,14865,1080677.244,1.530206876,2.20908157
,,Facebook,Tổng kênh Facebook,full-2026,domestic,7965302657,10244,777557.8541,1.672485877,1.919038577
,,Facebook,Tổng kênh Facebook,full-2026,overseas,8098964568,4621,1752643.274,1.390275987,2.494337814
,,Facebook,Tổng kênh Facebook,T1,total,2863517025,2727,1050061.249,2.255026133,3.060589271
,,Facebook,Tổng kênh Facebook,T1,domestic,1221535697,1719,710608.3169,2.106179383,2.487311659
,,Facebook,Tổng kênh Facebook,T1,overseas,1641981328,1008,1628949.73,2.365759195,3.487073456
,,Facebook,Tổng kênh Facebook,T2,total,3021555813,2837,1065053.159,1.730335636,2.636417691
,,Facebook,Tổng kênh Facebook,T2,domestic,1372669593,1897,723600.2072,1.549425667,1.671447456
,,Facebook,Tổng kênh Facebook,T2,overseas,1648886220,940,1754134.276,1.880940093,3.439738917
,,Facebook,Tổng kênh Facebook,T3,total,3642506668,3059,1190750.791,1.299808629,1.961168103
,,Facebook,Tổng kênh Facebook,T3,domestic,1792606621,2116,847167.5905,1.738120267,1.925054085
,,Facebook,Tổng kênh Facebook,T3,overseas,1849900047,943,1961717.971,0.8750719817,1.99616363
,,Facebook,Tổng kênh Facebook,T4,total,3190107833,3444,926279.8587,1.383321319,1.702472662
,,Facebook,Tổng kênh Facebook,T4,domestic,1576143113,2383,661411.2938,1.708175531,1.776179508
,,Facebook,Tổng kênh Facebook,T4,overseas,1613964720,1061,1521173.157,1.066079731,1.63049306
,,Facebook,Tổng kênh Facebook,T5,total,2979385148,2615,1139344.225,1.220866648,1.977793879
,,Facebook,Tổng kênh Facebook,T5,domestic,1803510306,1995,904015.1908,1.516506666,1.9499557
,,Facebook,Tổng kênh Facebook,T5,overseas,1175874842,620,1896572.327,0.767425688,2.020490978
,,Facebook,Tổng kênh Facebook,T6,total,367194738.2,183,2006528.624,0.3025724185,0.7894857138
,,Facebook,Tổng kênh Facebook,T6,domestic,198837326.8,134,1483860.648,0.3978277182,0.9349099739
,,Facebook,Tổng kênh Facebook,T6,overseas,168357411.4,49,3435865.539,0.1900718224,0.6177334227
,,Facebook,Facebook CGSĐ,full-2026,total,15171657186,13607,1114989.137,1.45051565,2.133805441
,,Facebook,Facebook CGSĐ,full-2026,domestic,7072692618,9074,779445.9574,1.616434224,1.837237576
,,Facebook,Facebook CGSĐ,full-2026,overseas,8098964568,4533,1786667.674,1.305621688,2.392793282
,,Facebook,Facebook CGSĐ,T1,total,2706006377,2420,1118184.453,1.946270711,2.716742258
,,Facebook,Facebook CGSĐ,T1,domestic,1064025049,1439,739419.77,1.624746994,1.853805361
,,Facebook,Facebook CGSĐ,T1,overseas,1641981328,981,1673783.209,2.154622221,3.275936483
,,Facebook,Facebook CGSĐ,T2,total,2689562717,2457,1094653.121,1.777964005,2.781740672
,,Facebook,Facebook CGSĐ,T2,domestic,1040676498,1536,677523.7615,1.803253465,1.930994987
,,Facebook,Facebook CGSĐ,T2,overseas,1648886220,921,1790321.628,1.762002839,3.318679503
,,Facebook,Facebook CGSĐ,T3,total,3343118897,2619,1276486.788,1.288014914,1.972677519
,,Facebook,Facebook CGSĐ,T3,domestic,1493218851,1696,880435.6431,1.794104929,1.938089851
,,Facebook,Facebook CGSĐ,T3,overseas,1849900047,923,2004225.403,0.8795046537,2.000596302
,,Facebook,Facebook CGSĐ,T4,total,3166568076,3387,934918.2392,1.288343303,1.601753019
,,Facebook,Facebook CGSĐ,T4,domestic,1552603356,2342,662939.0931,1.616656882,1.66914292
,,Facebook,Facebook CGSĐ,T4,overseas,1613964720,1045,1544463.847,0.9725118867,1.536925215
,,Facebook,Facebook CGSĐ,T5,total,2899206380,2543,1140073.291,1.200858892,1.932743163
,,Facebook,Facebook CGSĐ,T5,domestic,1723331537,1928,893844.1584,1.496601869,1.950217313
,,Facebook,Facebook CGSĐ,T5,overseas,1175874842,615,1911991.614,0.767425688,1.907133505
,,Facebook,Facebook CGSĐ,T6,total,367194738.2,181,2028700.211,0.2478466888,0.7347599841
,,Facebook,Facebook CGSĐ,T6,domestic,198837326.8,133,1495017.495,0.2967652048,0.8338474606
,,Facebook,Facebook CGSĐ,T6,overseas,168357411.4,48,3507446.071,0.1900718224,0.6177334227
,,Facebook,Facebook mess Nữ MB,full-2026,total,788891514,894,882428.9866,0.7813059071,0.9940185514
,,Facebook,Facebook mess Nữ MB,full-2026,domestic,788891514,874,902621.8696,0.7917002387,1.004412883
,,Facebook,Facebook mess Nữ MB,full-2026,overseas,0,20,0,,
,,Facebook,Facebook mess Nữ MB,T1,total,157510647.7,188,837822.5943,1.39258268,1.779002271
,,Facebook,Facebook mess Nữ MB,T1,domestic,157510647.7,182,865443.1194,1.39258268,1.779002271
,,Facebook,Facebook mess Nữ MB,T1,overseas,0,6,0,,
,,Facebook,Facebook mess Nữ MB,T2,total,331993095.5,316,1050611.062,0.2721984319,0.3341214064
,,Facebook,Facebook mess Nữ MB,T2,domestic,331993095.5,309,1074411.312,0.2721984319,0.3341214064
,,Facebook,Facebook mess Nữ MB,T2,overseas,0,7,0,,
,,Facebook,Facebook mess Nữ MB,T3,total,299387770.8,390,767660.9507,1.024260274,1.226973964
,,Facebook,Facebook mess Nữ MB,T3,domestic,299387770.8,383,781691.3075,1.051649502,1.254363193
,,Facebook,Facebook mess Nữ MB,T3,overseas,0,7,0,,
,,Facebook,Facebook remar,full-2026,total,103718525.3,52,1994587.026,0.4936437327,0.4936437327
,,Facebook,Facebook remar,full-2026,domestic,103718525.3,49,2116704.599,0.4936437327,0.4936437327
,,Facebook,Facebook remar,full-2026,overseas,0,3,0,,
,,Facebook,Facebook remar,T4,total,23539757.14,10,2353975.714,1.486846266,1.486846266
,,Facebook,Facebook remar,T4,domestic,23539757.14,9,2615528.571,1.486846266,1.486846266
,,Facebook,Facebook remar,T4,overseas,0,1,0,,
,,Facebook,Facebook remar,T5,total,80178768.2,42,1909018.29,0.2020485019,0.2020485019
,,Facebook,Facebook remar,T5,domestic,80178768.2,40,2004469.205,0.2020485019,0.2020485019
,,Facebook,Facebook remar,T5,overseas,0,2,0,,
,,Facebook,Facebook hotline,full-2026,total,0,312,0,,
,,Facebook,Facebook hotline,full-2026,domestic,0,247,0,,
,,Facebook,Facebook hotline,full-2026,overseas,0,65,0,,
,,Facebook,Facebook hotline,T1,total,0,119,0,,
,,Facebook,Facebook hotline,T1,domestic,0,98,0,,
,,Facebook,Facebook hotline,T1,overseas,0,21,0,,
,,Facebook,Facebook hotline,T2,total,0,64,0,,
,,Facebook,Facebook hotline,T2,domestic,0,52,0,,
,,Facebook,Facebook hotline,T2,overseas,0,12,0,,
,,Facebook,Facebook hotline,T3,total,0,50,0,,
,,Facebook,Facebook hotline,T3,domestic,0,37,0,,
,,Facebook,Facebook hotline,T3,overseas,0,13,0,,
